"product_id","product_name","product_category"
"MONITOR-002","24"" Gaming Monitor","Monitors"
"CAMERA-002","Webcam HD Pro","Cameras"
"LAPTOP-001","UltraBook Pro 15""","Laptops"
"LAPTOP-003","Business Notebook","Laptops"
"TABLET-001","TabletPro 12""","Tablets"
"HEADPHONE-001","Wireless Pro Headphones","Audio"
"PHONE-003","SmartPhone Ultra","Smartphones"
"TABLET-002","Tablet Mini","Tablets"
"SPEAKER-002","Smart Speaker","Audio"
"LAPTOP-002","Gaming Laptop RTX","Laptops"
"PHONE-001","SmartPhone X Pro","Smartphones"
"CAMERA-001","Action Camera 4K","Cameras"
"SPEAKER-001","Bluetooth Speaker Pro","Audio"
"PHONE-002","SmartPhone Budget","Smartphones"
"HEADPHONE-003","Studio Monitor Headphones","Audio"
"MONITOR-001","27"" 4K Monitor","Monitors"
"KEYBOARD-001","Mechanical RGB Keyboard","Accessories"
"WATCH-002","Fitness Tracker","Wearables"
"MOUSE-001","Wireless Gaming Mouse","Accessories"
"HEADPHONE-002","Budget Earbuds","Audio"
"WATCH-001","SmartWatch Pro","Wearables"
